uniandes_user_id,user_join_ts,country_cd,region_cd,profile_language_cd,browser_language_cd,reported_or_inferred_gender,employment_status,educational_attainment,student_status
00d3c6d6a3a60e789c88760bdb60cc92fa452064,2020-06-18 02:20:58,"CO","VAC","es-LA","es-41","male",,"MASTERS_DEGREE",
f6fc32e89a8d4fe775635091a808db0c5bb2b91c,2023-11-18 23:41:30,"US","CO","es-LA","es-41","male",,,
6183fa50143806b1f1bfe584c2a8fd1d38d36846,2019-04-05 05:59:34,"IN","DL","en-US","en-US",,,,
3d50e9da0408c7ed53447cf1dabac5446f714883,2022-07-11 23:22:41,"CO","LAG","es-LA","es-ES","male",,"COLLEGE_NO_DEGREE",
142a469e7412d619767289e9ab3f10078c6a7a4c,2020-05-26 16:09:11,"MX","CHH","es-LA","en-US",,,"BACHELOR_DEGREE",
e7c04556add910a7887324bdfe06cdda4abdae11,2021-01-25 06:39:22,"MX","NLE","es-LA","en-US","female","EMPLOYED_FULL_TIME","MASTERS_DEGREE",
2c373b3bd9c9591fbbc5261aac2000fb829966b8,2024-05-14 02:10:09,"PE","LMA","es","es-41","male",,"MASTERS_DEGREE",
bfa31343f1a624c990a421ed17de20ba44144c28,2025-03-30 04:45:39,"CO","QUI",,"es-CO",,,,
7abc71787ffee924db90f79e64b44224c3196c43,2020-03-25 23:27:32,"CL","VS","es-LA","es-41","female",,,
4ddf7c697aa426380d305f0580f2f8141da87ccc,2024-03-04 20:46:38,"US","MD","en-US","en-US","male",,"LESS_THAN_HIGH_SCHOOL_DIPLOMA",
9d93f3e0d8decee3508de607c7b5912bb6eae287,2025-01-03 16:21:51,"CO","DC",,"es-41","male",,,
1246fa3555c23ebddf146f23262817622f4d30f7,2021-02-04 13:07:26,"CO","DC","es-LA","en-CO","male",,,
0f6b176a92152e292f82f1054ddc5aa5edd6fb9f,2023-05-28 18:17:32,"US","CAL","es-LA","es-CO","male",,"ASSOCIATE_DEGREE",
ea17ff71c1a0cc47181c0ecadab15fe5cb4f96fa,2025-01-06 19:04:50,"CO","VAC",,"es-41","female",,,
